YEAR,HAULJOIN,STRATUM,STATIONID,SPECIES_CODE,SEX,LENGTH,WEIGHT,AGE,SPECIMENID,STATIONYEAR,LON,LAT
2019,-19245,50,A-02,21740,2,600,1716,6,206,2019_A-02,-166.9309,54.99162
2019,-19245,50,A-02,21740,2,490,1022,7,207,2019_A-02,-166.9309,54.99162
2019,-19245,50,A-02,21740,2,490,876,7,208,2019_A-02,-166.9309,54.99162
2019,-19245,50,A-02,21740,2,480,672,7,209,2019_A-02,-166.9309,54.99162
2019,-19245,50,A-02,21740,2,480,670,NA,210,2019_A-02,-166.9309,54.99162
2019,-19245,50,A-02,21740,2,160,34,NA,211,2019_A-02,-166.9309,54.99162
2015,-14158,50,A-02,21740,2,520,990,7,350,2015_A-02,-166.92508,54.99659
2015,-14158,50,A-02,21740,2,520,984,7,351,2015_A-02,-166.92508,54.99659
2015,-14158,50,A-02,21740,2,590,1226,8,352,2015_A-02,-166.92508,54.99659
2015,-14158,50,A-02,21740,2,550,1084,7,353,2015_A-02,-166.92508,54.99659
2015,-14158,50,A-02,21740,1,530,904,7,354,2015_A-02,-166.92508,54.99659
2015,-14158,50,A-02,21740,1,480,818,7,355,2015_A-02,-166.92508,54.99659
2016,-15521,50,A-02,21740,1,480,640,8,304,2016_A-02,-166.92004,55.00892
2016,-15521,50,A-02,21740,1,480,650,7,305,2016_A-02,-166.92004,55.00892
2016,-15521,50,A-02,21740,1,410,542,4,306,2016_A-02,-166.92004,55.00892
2016,-15521,50,A-02,21740,2,410,540,4,307,2016_A-02,-166.92004,55.00892
2016,-15521,50,A-02,21740,2,420,544,4,308,2016_A-02,-166.92004,55.00892
2016,-15521,50,A-02,21740,2,390,378,4,309,2016_A-02,-166.92004,55.00892
2015,-14157,50,A-03,21740,1,530,882,8,344,2015_A-03,-166.30247,54.99908
2015,-14157,50,A-03,21740,1,580,1010,8,345,2015_A-03,-166.30247,54.99908
2015,-14157,50,A-03,21740,2,530,950,7,346,2015_A-03,-166.30247,54.99908
2015,-14157,50,A-03,21740,2,550,1126,8,347,2015_A-03,-166.30247,54.99908
2015,-14157,50,A-03,21740,2,530,912,8,348,2015_A-03,-166.30247,54.99908
2015,-14157,50,A-03,21740,2,410,402,5,349,2015_A-03,-166.30247,54.99908
2016,-15377,50,A-04,21740,2,500,824,8,261,2016_A-04,-165.75198,54.99372
2016,-15377,50,A-04,21740,2,490,696,7,262,2016_A-04,-165.75198,54.99372
2016,-15377,50,A-04,21740,2,460,736,4,263,2016_A-04,-165.75198,54.99372
2016,-15377,50,A-04,21740,1,500,766,8,264,2016_A-04,-165.75198,54.99372
2016,-15377,50,A-04,21740,1,410,558,5,265,2016_A-04,-165.75198,54.99372
2017,-16534,50,A-04,21740,1,480,920,5,141,2017_A-04,-165.74737,54.99454
2017,-16534,50,A-04,21740,1,450,775,5,142,2017_A-04,-165.74737,54.99454
2017,-16534,50,A-04,21740,2,520,1335,6,143,2017_A-04,-165.74737,54.99454
2017,-16534,50,A-04,21740,2,550,1260,11,144,2017_A-04,-165.74737,54.99454
2017,-16534,50,A-04,21740,2,530,1060,7,145,2017_A-04,-165.74737,54.99454
2015,-14155,50,A-04,21740,1,470,730,6,337,2015_A-04,-165.72826,54.99726
2015,-14155,50,A-04,21740,2,560,1120,7,338,2015_A-04,-165.72826,54.99726
2015,-14155,50,A-04,21740,2,500,675,8,339,2015_A-04,-165.72826,54.99726
