YEAR,DAY_MONTH,TIME24HR,VESSEL,CRUISE,HAUL,HAULJOIN,SPECIES_CODE,WEIGHT,NUMBER_FISH,SUBSAMPLE_CODE,DURATION,DISTANCE_FISHED,NET_WIDTH,STATIONID,STRATUM,START_LATITUDE,END_LATITUDE,START_LONGITUDE,END_LONGITUDE,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE
2015,3-Jun,7:13:54,94,201501,3,-13970,21740,153.986,230,NA,0.524,2.852,14.088,G-15,10,56.97562,56.99538,-159.14222,-159.11239,33,7.2,6.5
2015,3-Jun,10:00:00,94,201501,4,-13969,21740,200,154,NA,0.505,2.832,15.298,H-15,10,57.31682,57.33696,-159.09144,-159.0627,49,6.6,5
2015,3-Jun,12:38:05,94,201501,5,-13971,21740,53.66,41,NA,0.499,2.781,16.654,I-15,10,57.65673,57.67384,-159.02884,-158.99491,49,5.2,5.1
2015,3-Jun,15:22:52,94,201501,6,-13963,21740,312.78,205,NA,0.52,2.866,15.828,J-15,10,57.99365,58.01932,-158.98267,-158.97804,42,6.4,5.6
2015,4-Jun,9:01:39,94,201501,8,-13965,21740,121.3,96,NA,0.512,2.782,15.477,J-13,10,58.01148,57.98663,-160.21068,-160.21623,51,7.3,4.4
2015,4-Jun,11:36:07,94,201501,9,-13966,21740,377.003,363,NA,0.527,2.969,16.207,I-13,31,57.67938,57.65277,-160.24489,-160.24041,55,7.5,4.6
2015,4-Jun,14:14:50,94,201501,10,-13949,21740,1432.507,2008,NA,0.502,2.75,16.163,H-13,31,57.34999,57.32525,-160.30041,-160.30135,62,7.3,4.5
2015,4-Jun,16:52:11,94,201501,11,-13972,21740,93.88,183,NA,0.511,2.865,16.084,G-13,31,57.01555,56.98989,-160.33359,-160.33826,63,8,4.5
2015,5-Jun,6:42:21,94,201501,12,-13967,21740,416.657,553,NA,0.27,1.428,16.019,F-11,31,56.66233,56.67506,-161.6001,-161.60341,88,7.1,4.3
2015,5-Jun,9:30:52,94,201501,13,-13968,21740,351.67,467,NA,0.521,2.912,17.308,G-11,31,56.99129,57.01333,-161.53084,-161.5567,69,6.6,4.6
2015,5-Jun,12:28:08,94,201501,14,-13973,21740,518.126,515,NA,0.481,2.689,17.008,H-11,31,57.31732,57.33826,-161.50487,-161.52717,58,6.3,4.9
2015,5-Jun,15:32:41,94,201501,15,-13954,21740,181.72,148,NA,0.489,2.632,16.979,I-11,10,57.65249,57.6741,-161.47189,-161.48991,53,5.2,3.9
2015,5-Jun,18:46:02,94,201501,16,-13953,21740,131.956,303,NA,0.532,2.82,16.239,J-11,10,57.98757,58.00239,-161.43394,-161.47256,54,6.6,4.2
2015,6-Jun,7:10:40,94,201501,17,-13955,21740,9.8,6,NA,0.528,2.806,14.555,L-09,10,58.67975,58.65846,-162.71953,-162.69356,21,4.8,4.8
2015,6-Jun,10:03:41,94,201501,18,-13956,21740,25.4,16,NA,0.506,2.79,15.064,K-09,10,58.34419,58.31943,-162.71306,-162.72095,33,5,4.8
2015,6-Jun,12:45:36,94,201501,19,-13948,21740,670.799,616,NA,0.516,2.946,15.801,J-09,10,58.02298,57.99652,-162.74502,-162.74188,42,5,4.8
2015,6-Jun,15:20:30,94,201501,20,-13950,21740,116.261,88,NA,0.5,2.82,15.873,I-09,10,57.67337,57.64801,-162.74425,-162.74251,43,5.9,5.2
2015,6-Jun,17:48:28,94,201501,21,-13951,21740,224.2,243,NA,0.5,2.797,15.742,H-09,10,57.34202,57.31725,-162.76593,-162.77417,49,5.9,5
2015,7-Jun,6:41:39,94,201501,22,-13957,21740,133.8,201,NA,0.522,2.889,15.975,G-09,31,57.01088,56.98522,-162.78702,-162.7946,61,7,4.6
